165,12298,1679,207744,392,150002,9671,211,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Word 2010 (adaptive),2,1.631001,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,qkDdpp5E/q84pvrwAOz43w==,NULL,NULL,NULL,NULL,NULL,Microsoft Word 2010 (adaptive),SCORE
166,12299,1679,207744,392,150002,9671,129,1,assessment,0,Company Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Word 2010 (adaptive),3,-2.281665,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,yVAMOLBljo0DLOo9T+Jk/w==,NULL,NULL,NULL,NULL,NULL,Microsoft Word 2010 (adaptive),RAW
167,12299,1679,207744,392,150002,9671,211,1,assessment,0,Company Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Word 2010 (adaptive),3,1.631001,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,rdilfmvOiPWd0XSjDQUkkg==,NULL,NULL,NULL,NULL,NULL,Microsoft Word 2010 (adaptive),SCORE
168,12291,1680,207744,343,151530,11382,128,1,assessment,0,,NULL,NULL,NULL,NULL,NULL,Proficiency,0,1.73,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,+FrjZVulGd53m3z5qqUSWA==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),PERCENTILE
169,12291,1680,207744,343,151530,11382,211,1,assessment,0,,NULL,NULL,NULL,NULL,NULL,Proficiency,0,2.1987834,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,xnO9EH6meZX5SwqpZ1RM1w==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),SCORE
170,12289,1680,207744,343,151530,11382,128,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Excel 2010 (adaptive),2,1.73227,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,O1bVSGbo9XWzgXkcFn/KUA==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),PERCENTILE
171,12289,1680,207744,343,151530,11382,129,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Excel 2010 (adaptive),2,-1.335361,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,4lqb1LsnaUZNQju4Yw2lAw==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),RAW
172,12289,1680,207744,343,151530,11382,211,1,assessment,0,Global Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Excel 2010 (adaptive),2,2.1987834,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,itdAMgEvLzGXuzhVWj9w5g==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),SCORE
173,12290,1680,207744,343,151530,11382,129,1,assessment,0,Company Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Excel 2010 (adaptive),3,-1.335361,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,tzAaHhi+Y+mjAnU06xFm0A==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),RAW
174,12290,1680,207744,343,151530,11382,211,1,assessment,0,Company Population,NULL,NULL,2.000000000,NULL,NULL,Microsoft Excel 2010 (adaptive),3,2.1987834,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,f1TPL9LO0f7UZ2JGFTxWKw==,NULL,NULL,NULL,NULL,NULL,Microsoft Excel 2010 (adaptive),SCORE
